date,number
2023-11-13,1
2023-11-14,1
2023-11-21,1
2023-11-22,1
2023-11-28,1
2023-11-29,1
2023-12-06,1
2023-12-07,1
2023-12-11,1
2023-12-12,1
2023-12-19,1
2023-12-20,1
2023-12-21,1
2024-01-16,2
2024-01-17,2
2024-01-18,3
2024-01-25,4
2024-01-26,4
2024-02-07,5
2024-02-08,5
2024-02-09,5
2024-02-21,6
2024-02-22,6
2024-03-06,7
2024-03-07,7
2024-03-08,7
2024-03-20,8
2024-03-21,8
2024-04-10,9
2024-04-11,9
2024-04-12,9
2024-04-24,10
2024-04-25,10
2024-04-26,10
2024-05-08,11
2024-05-09,11
2024-05-15,11
2024-05-22,12
2024-05-23,12
2024-06-12,13
2024-06-13,13
2024-06-14,13
